Date,volume,opens,close
"Oct 18, 2020","18,283,314,340","11,355.98","11,483.36"
"Oct 17, 2020","19,130,430,174","11,322.12","11,358.10"
"Oct 16, 2020","25,635,480,772","11,502.83","11,322.12"
"Oct 15, 2020","24,487,233,058","11,426.60","11,495.35"
"Oct 14, 2020","24,103,426,719","11,429.05","11,429.51"
"Oct 13, 2020","24,241,420,251","11,548.72","11,425.90"
"Oct 12, 2020","26,163,972,642","11,392.64","11,555.36"
"Oct 11, 2020","19,968,627,060","11,296.08","11,384.18"
"Oct 10, 2020","22,877,978,588","11,059.14","11,296.36"
"Oct 09, 2020","22,593,173,917","10,925.44","11,079.47"
"Oct 08, 2020","21,962,121,001","10,677.63","10,923.63"
"Oct 07, 2020","17,634,388,529","10,619.80","10,679.14"
"Oct 06, 2020","22,264,958,686","10,799.78","10,621.66"
"Oct 05, 2020","19,385,191,766","10,688.03","10,804.00"
"Oct 04, 2020","17,546,792,792","10,567.92","10,684.43"
"Oct 03, 2020","17,094,010,304","10,583.81","10,565.49"
"Oct 02, 2020","23,127,839,259","10,624.39","10,585.16"
"Oct 01, 2020","27,178,227,816","10,785.01","10,623.33"
"Sep 30, 2020","20,759,622,010","10,845.41","10,787.62"
"Sep 29, 2020","20,459,870,042","10,712.46","10,848.83"
"Sep 28, 2020","22,720,365,389","10,771.64","10,721.33"
"Sep 27, 2020","18,016,880,214","10,752.94","10,774.43"
"Sep 26, 2020","18,105,012,128","10,702.24","10,754.44"
"Sep 25, 2020","21,232,549,821","10,747.47","10,702.29"
"Sep 24, 2020","23,017,536,742","10,227.48","10,745.55"
"Sep 23, 2020","22,986,733,997","10,539.46","10,225.86"
"Sep 22, 2020","23,621,787,804","10,459.62","10,538.46"
"Sep 21, 2020","28,884,999,244","10,934.93","10,462.26"
"Sep 20, 2020","24,699,523,788","11,095.87","10,938.27"
"Sep 19, 2020","22,764,204,008","10,933.75","11,094.35"
"Sep 18, 2020","26,341,903,912","10,951.82","10,944.59"
"Sep 17, 2020","38,151,810,523","10,973.25","10,948.99"
"Sep 16, 2020","30,769,986,455","10,797.76","10,974.90"
"Sep 15, 2020","32,509,451,925","10,677.75","10,796.95"
"Sep 14, 2020","35,453,581,940","10,328.73","10,680.84"
"Sep 13, 2020","36,506,852,789","10,452.40","10,323.76"
"Sep 12, 2020","36,750,077,324","10,409.86","10,442.17"
"Sep 11, 2020","45,201,121,775","10,369.03","10,400.91"
"Sep 10, 2020","54,406,443,211","10,242.33","10,363.14"
"Sep 09, 2020","24,128,292,755","10,134.15","10,242.35"
"Sep 08, 2020","33,430,927,462","10,369.31","10,131.52"
"Sep 07, 2020","33,703,098,409","10,281.00","10,369.56"
"Sep 06, 2020","37,071,460,174","10,167.22","10,280.35"
"Sep 05, 2020","44,916,565,292","10,512.53","10,169.57"
"Sep 04, 2020","29,965,130,374","10,230.37","10,511.81"
"Sep 03, 2020","31,927,261,555","11,407.19","10,245.30"
"Sep 02, 2020","28,037,405,299","11,964.82","11,414.03"
"Sep 01, 2020","27,311,555,343","11,679.32","11,970.48"
"Aug 31, 2020","22,285,928,250","11,713.31","11,680.82"
"Aug 30, 2020","19,760,127,945","11,508.71","11,711.51"
"Aug 29, 2020","17,485,597,759","11,541.05","11,506.87"
"Aug 28, 2020","19,807,127,588","11,325.30","11,542.50"
"Aug 27, 2020","23,240,415,076","11,485.61","11,323.40"
"Aug 26, 2020","22,466,660,958","11,366.89","11,488.36"
"Aug 25, 2020","26,301,509,932","11,773.59","11,366.14"
"Aug 24, 2020","20,681,511,755","11,663.69","11,774.60"
"Aug 23, 2020","18,482,062,658","11,679.70","11,664.85"
"Aug 22, 2020","20,224,191,306","11,585.48","11,681.83"
"Aug 21, 2020","23,762,425,999","11,878.03","11,592.49"
"Aug 20, 2020","20,175,242,945","11,761.50","11,878.37"
"Aug 19, 2020","24,502,851,117","11,990.88","11,758.28"
